Context,Questions,Answers
"Descartes was well aware that the novelty of this approach would be liable to arouse suspicion in a learned readership for whom what we might value as originality might well appear mere eccentricity and arrogance. He adopted various strategies aimed at overcoming this resistance. He hoped to receive the endorsement of the Sorbonne, the highly influential Theology Faculty of the University of Paris (for his letter to the Faculty see p. 3 below), and the first edition claims the work was so approved.14 Another strategy bore more abundant fruit. The Meditations eschew the scholastic practice of formally setting out objections to one�s position and replies to these objections. Instead, Descartes prevailed upon his friend the theologian, philosopher, and scientist Marin Mersenne, one of the great intellectual networkers of his age, to solicit objections from a variety of competent readers. The objections and Descartes�s replies to these would be printed along with the main text of the Meditations.15 Descartes�s hope, repeatedly expressed in the Replies, was that the objections would be sufficiently comprehensive and searching to convince readers that his text had been as rigorously examined as possible, while his replies would convince them that it was invulnerable. The Objectors were, indeed, a varied and mostly distinguished Introduction xv 13 The phrase �abducere mentem a sensibus� (to withdraw one�s mind from the senses) appears in letters to Mersenne (Mar. 1637) [probably, in fact, late April], AT 1. 351; and to Vatier (22 Feb. 1638, AT 1. 560). See Henri Gouhier, La Pens�e m�taphysique de Descartes (Paris: Vrin, 1962), 51�5; Stephen Menn, Descartes and Augustine (Cambridge: Cambridge University Press, 1998), 220�4. 14 Jean-Robert Armogathe explains what happened in terms of the workings of the Sorbonne�s system of censorship. In accordance with standard practice, a committee of censors was appointed to examine the Meditations. If the censors did not condemn a text, it was regarded as having the Faculty�s approval. On this showing, the Meditations could be claimed to have been approved (�L�Approbation des Meditationes par la Facult� de Th�ologie de Paris (1641)�, Bulletin Cart�sien, 21: 1�3, in Archives de philosophie, 57: 1 (1994)). 15 On the link between the Objections and Replies and the scholastic practice of disputation see Gary Hatfield, Descartes and the �Meditations� (Abingdon: Routledge, 2003), 43. xvi Introduction group, including Mersenne himself, Pierre Gassendi, the English philosopher Thomas Hobbes, and Antoine Arnauld, who would soon win fame as a powerful and controversial theologian.16 The Objections and Replies are of vital assistance to the understanding of the Meditations. They are therefore summarized, and the most important passages quoted, in this edition. Two sets, the Third and the Fourth (Hobbes�s and Arnauld�s respectively), are included unabridged, Hobbes�s because of his standing as a philosopher, and Arnauld�s because Descartes thought him the most penetrating of his readers (to Mersenne, 4 March 1641, AT 3. 331).","How did Descartes incorporate objections into the Meditations, and what was his goal in doing so?","Descartes incorporated objections into the Meditations by asking Marin Mersenne to gather critiques from various scholars. These objections, along with Descartes' replies, were printed alongside the main text. Descartes' goal was to show that his arguments had been rigorously examined and that his responses could convincingly address all possible criticisms, thereby reinforcing the robustness of his philosophical positions."
"Descartes was well aware that the novelty of this approach would be liable to arouse suspicion in a learned readership for whom what we might value as originality might well appear mere eccentricity and arrogance. He adopted various strategies aimed at overcoming this resistance. He hoped to receive the endorsement of the Sorbonne, the highly influential Theology Faculty of the University of Paris (for his letter to the Faculty see p. 3 below), and the first edition claims the work was so approved.14 Another strategy bore more abundant fruit. The Meditations eschew the scholastic practice of formally setting out objections to one�s position and replies to these objections. Instead, Descartes prevailed upon his friend the theologian, philosopher, and scientist Marin Mersenne, one of the great intellectual networkers of his age, to solicit objections from a variety of competent readers. The objections and Descartes�s replies to these would be printed along with the main text of the Meditations.15 Descartes�s hope, repeatedly expressed in the Replies, was that the objections would be sufficiently comprehensive and searching to convince readers that his text had been as rigorously examined as possible, while his replies would convince them that it was invulnerable. The Objectors were, indeed, a varied and mostly distinguished Introduction xv 13 The phrase �abducere mentem a sensibus� (to withdraw one�s mind from the senses) appears in letters to Mersenne (Mar. 1637) [probably, in fact, late April], AT 1. 351; and to Vatier (22 Feb. 1638, AT 1. 560). See Henri Gouhier, La Pens�e m�taphysique de Descartes (Paris: Vrin, 1962), 51�5; Stephen Menn, Descartes and Augustine (Cambridge: Cambridge University Press, 1998), 220�4. 14 Jean-Robert Armogathe explains what happened in terms of the workings of the Sorbonne�s system of censorship. In accordance with standard practice, a committee of censors was appointed to examine the Meditations. If the censors did not condemn a text, it was regarded as having the Faculty�s approval. On this showing, the Meditations could be claimed to have been approved (�L�Approbation des Meditationes par la Facult� de Th�ologie de Paris (1641)�, Bulletin Cart�sien, 21: 1�3, in Archives de philosophie, 57: 1 (1994)). 15 On the link between the Objections and Replies and the scholastic practice of disputation see Gary Hatfield, Descartes and the �Meditations� (Abingdon: Routledge, 2003), 43. xvi Introduction group, including Mersenne himself, Pierre Gassendi, the English philosopher Thomas Hobbes, and Antoine Arnauld, who would soon win fame as a powerful and controversial theologian.16 The Objections and Replies are of vital assistance to the understanding of the Meditations. They are therefore summarized, and the most important passages quoted, in this edition. Two sets, the Third and the Fourth (Hobbes�s and Arnauld�s respectively), are included unabridged, Hobbes�s because of his standing as a philosopher, and Arnauld�s because Descartes thought him the most penetrating of his readers (to Mersenne, 4 March 1641, AT 3. 331).",Why are the Objections and Replies considered important for understanding Descartes� Meditations?,"The Objections and Replies are considered important for understanding Descartes� Meditations because they provide critical insights into the philosophical debates surrounding the work. They not only illuminate the challenges Descartes faced but also highlight how he defended his positions against prominent thinkers of his time, including Thomas Hobbes and Antoine Arnauld, whose detailed critiques and Descartes' responses deepen the reader's comprehension of the Meditations."
"The first edition of the Meditations, including six sets of Objections and Replies, was published by Michel Soly in Paris in late August 1641. Descartes seems to have been dissatisfied with it (it contained many printer�s errors), and started work on a second edition, to be printed in Amsterdam by the famous firm of Elzevier. It appeared in January 1642, and contained a seventh set of objections from the Jesuit priest Bourdin, with Descartes�s replies, and a letter to Dinet, a former teacher of Descartes at La Fl�che, who was now head of the French province of the Society of Jesus.17 In 1647 a French translation (M�ditations m�taphysiques touchant la premi�re philosophie) was published: the Meditations themselves were translated by a great nobleman, the duc de Luynes, a sympathizer of the Jansenist religious movement, and the Objections and Replies by Claude Clerselier.18 16 More information on the Objectors is given in the Introduction to the Objections and Replies. The first set of Objections was solicited without the intervention of Mersenne (Clarke, Descartes, 202). 17 The title of the first edition reads as Meditations on First Philosophy in Which the Existence of God and the Immortality of the Soul are Demonstrated. The title of the second edition claims (more accurately) proof not for the immortality of the soul but for its real distinction from the body (see the Synopsis, pp. 10�12, and Descartes to Mersenne, 24 Dec. 1640, AT 3. 265�6). 18 �Jansenism� is a term, originally hostile, applied to followers of the Flemish Roman Catholic theologian Cornelius Jansenius (1585�1638), who offered a rigorous restatement of St Augustine�s doctrines on grace and predestination that, to his critics, seemed very close to Calvinism. It has often been noted that in France followers of Augustine�s theology were sympathetic to Descartes: but not all of these were �Jansenists�� Malebranche, for instance, was not. Antoine Arnauld is the most obvious example of a Jansenist whose philosophy was Cartesian. See Genevi�ve Rodis-Lewis, �Augustinisme et cart�sianisme�, in L�Anthropologie cart�sienne (Paris: Presses Universitaires de France, 1995 [1955]), 101�25; Henri Gouhier, Cart�sianisme et augustinisme au XVIIe si�cle (Paris: Vrin, 1978); Tad M. Schmaltz, �What Has Cartesianism To Do With Jansenism?�, Journal of the History of Ideas, 60 (1999), 37�56.",What prompted Descartes to work on a second edition of the Meditations?,"Descartes was prompted to work on a second edition of the Meditations because he was dissatisfied with the first edition, which contained many printer�s errors. He sought to produce a more accurate version, leading to the second edition being printed by the famous firm of Elzevier in Amsterdam in January 1642."
"The first edition of the Meditations, including six sets of Objections and Replies, was published by Michel Soly in Paris in late August 1641. Descartes seems to have been dissatisfied with it (it contained many printer�s errors), and started work on a second edition, to be printed in Amsterdam by the famous firm of Elzevier. It appeared in January 1642, and contained a seventh set of objections from the Jesuit priest Bourdin, with Descartes�s replies, and a letter to Dinet, a former teacher of Descartes at La Fl�che, who was now head of the French province of the Society of Jesus.17 In 1647 a French translation (M�ditations m�taphysiques touchant la premi�re philosophie) was published: the Meditations themselves were translated by a great nobleman, the duc de Luynes, a sympathizer of the Jansenist religious movement, and the Objections and Replies by Claude Clerselier.18 16 More information on the Objectors is given in the Introduction to the Objections and Replies. The first set of Objections was solicited without the intervention of Mersenne (Clarke, Descartes, 202). 17 The title of the first edition reads as Meditations on First Philosophy in Which the Existence of God and the Immortality of the Soul are Demonstrated. The title of the second edition claims (more accurately) proof not for the immortality of the soul but for its real distinction from the body (see the Synopsis, pp. 10�12, and Descartes to Mersenne, 24 Dec. 1640, AT 3. 265�6). 18 �Jansenism� is a term, originally hostile, applied to followers of the Flemish Roman Catholic theologian Cornelius Jansenius (1585�1638), who offered a rigorous restatement of St Augustine�s doctrines on grace and predestination that, to his critics, seemed very close to Calvinism. It has often been noted that in France followers of Augustine�s theology were sympathetic to Descartes: but not all of these were �Jansenists�� Malebranche, for instance, was not. Antoine Arnauld is the most obvious example of a Jansenist whose philosophy was Cartesian. See Genevi�ve Rodis-Lewis, �Augustinisme et cart�sianisme�, in L�Anthropologie cart�sienne (Paris: Presses Universitaires de France, 1995 [1955]), 101�25; Henri Gouhier, Cart�sianisme et augustinisme au XVIIe si�cle (Paris: Vrin, 1978); Tad M. Schmaltz, �What Has Cartesianism To Do With Jansenism?�, Journal of the History of Ideas, 60 (1999), 37�56.",What was the significant difference in the title of the first and second editions of the Meditations?,"The significant difference in the title between the first and second editions of the Meditations is that the first edition claimed to demonstrate the immortality of the soul, while the second edition more accurately claimed to prove the soul's real distinction from the body. This change better reflected the actual content of Descartes' arguments."
"The first edition of the Meditations, including six sets of Objections and Replies, was published by Michel Soly in Paris in late August 1641. Descartes seems to have been dissatisfied with it (it contained many printer�s errors), and started work on a second edition, to be printed in Amsterdam by the famous firm of Elzevier. It appeared in January 1642, and contained a seventh set of objections from the Jesuit priest Bourdin, with Descartes�s replies, and a letter to Dinet, a former teacher of Descartes at La Fl�che, who was now head of the French province of the Society of Jesus.17 In 1647 a French translation (M�ditations m�taphysiques touchant la premi�re philosophie) was published: the Meditations themselves were translated by a great nobleman, the duc de Luynes, a sympathizer of the Jansenist religious movement, and the Objections and Replies by Claude Clerselier.18 16 More information on the Objectors is given in the Introduction to the Objections and Replies. The first set of Objections was solicited without the intervention of Mersenne (Clarke, Descartes, 202). 17 The title of the first edition reads as Meditations on First Philosophy in Which the Existence of God and the Immortality of the Soul are Demonstrated. The title of the second edition claims (more accurately) proof not for the immortality of the soul but for its real distinction from the body (see the Synopsis, pp. 10�12, and Descartes to Mersenne, 24 Dec. 1640, AT 3. 265�6). 18 �Jansenism� is a term, originally hostile, applied to followers of the Flemish Roman Catholic theologian Cornelius Jansenius (1585�1638), who offered a rigorous restatement of St Augustine�s doctrines on grace and predestination that, to his critics, seemed very close to Calvinism. It has often been noted that in France followers of Augustine�s theology were sympathetic to Descartes: but not all of these were �Jansenists�� Malebranche, for instance, was not. Antoine Arnauld is the most obvious example of a Jansenist whose philosophy was Cartesian. See Genevi�ve Rodis-Lewis, �Augustinisme et cart�sianisme�, in L�Anthropologie cart�sienne (Paris: Presses Universitaires de France, 1995 [1955]), 101�25; Henri Gouhier, Cart�sianisme et augustinisme au XVIIe si�cle (Paris: Vrin, 1978); Tad M. Schmaltz, �What Has Cartesianism To Do With Jansenism?�, Journal of the History of Ideas, 60 (1999), 37�56.","Who contributed to the French translation of the Meditations, and when was it published?","The French translation of the Meditations was published in 1647. The Meditations themselves were translated by the duc de Luynes, a great nobleman and sympathizer of the Jansenist religious movement, while the Objections and Replies were translated by Claude Clerselier."
"The first edition of the Meditations, including six sets of Objections and Replies, was published by Michel Soly in Paris in late August 1641. Descartes seems to have been dissatisfied with it (it contained many printer�s errors), and started work on a second edition, to be printed in Amsterdam by the famous firm of Elzevier. It appeared in January 1642, and contained a seventh set of objections from the Jesuit priest Bourdin, with Descartes�s replies, and a letter to Dinet, a former teacher of Descartes at La Fl�che, who was now head of the French province of the Society of Jesus.17 In 1647 a French translation (M�ditations m�taphysiques touchant la premi�re philosophie) was published: the Meditations themselves were translated by a great nobleman, the duc de Luynes, a sympathizer of the Jansenist religious movement, and the Objections and Replies by Claude Clerselier.18 16 More information on the Objectors is given in the Introduction to the Objections and Replies. The first set of Objections was solicited without the intervention of Mersenne (Clarke, Descartes, 202). 17 The title of the first edition reads as Meditations on First Philosophy in Which the Existence of God and the Immortality of the Soul are Demonstrated. The title of the second edition claims (more accurately) proof not for the immortality of the soul but for its real distinction from the body (see the Synopsis, pp. 10�12, and Descartes to Mersenne, 24 Dec. 1640, AT 3. 265�6). 18 �Jansenism� is a term, originally hostile, applied to followers of the Flemish Roman Catholic theologian Cornelius Jansenius (1585�1638), who offered a rigorous restatement of St Augustine�s doctrines on grace and predestination that, to his critics, seemed very close to Calvinism. It has often been noted that in France followers of Augustine�s theology were sympathetic to Descartes: but not all of these were �Jansenists�� Malebranche, for instance, was not. Antoine Arnauld is the most obvious example of a Jansenist whose philosophy was Cartesian. See Genevi�ve Rodis-Lewis, �Augustinisme et cart�sianisme�, in L�Anthropologie cart�sienne (Paris: Presses Universitaires de France, 1995 [1955]), 101�25; Henri Gouhier, Cart�sianisme et augustinisme au XVIIe si�cle (Paris: Vrin, 1978); Tad M. Schmaltz, �What Has Cartesianism To Do With Jansenism?�, Journal of the History of Ideas, 60 (1999), 37�56.",What was the significance of the Jansenist movement in relation to Descartes' Meditations?,"The Jansenist movement, which followed the rigorous Augustinian doctrines on grace and predestination, was significant in relation to Descartes' Meditations because many followers of Augustine�s theology were sympathetic to Cartesian philosophy. However, not all of these followers were strictly Jansenists, with Antoine Arnauld being a prominent example of a Jansenist whose philosophy was Cartesian."
"Descartes�s approach to the problem of truth was strikingly innovative. Truth was not to be sought by mastering a range of authoritative texts, and analysing the questions to which the reading of these might give rise, with full attention to the variety of views that might be taken. What was required was an individual search, conducted along the correct methodical lines, and the correct method involved divorcing oneself from one�s inveterate tendency to turn to the senses for information about the world in which one lives. More particularly, it involved a wholesale repudiation of one�s former beliefs: not merely casual opinions but deep convictions. It is some years now since I realized how many false opinions I had accepted as true from childhood onwards, and that, whatever I had since built on such shaky foundations, could only be highly doubtful. Hence I saw that at some stage in my life the whole structure would have to be utterly demolished, and that I should have to begin again from the bottom up if I wished to construct something lasting and unshakable in the sciences. . . . I have withdrawn into seclusion and shall at last be able to devote myself seriously and without encumbrance to the task of destroying all my former opinions. (p. 17) 19 On the publication history of the various editions in French and Latin see AT 7. v�xviii (Latin) and AT 9. v�x (French). On the translation of the Fifth Objections, see Clerselier�s note at AT 9. 200�1. On Gassendi�s Disquisitio metaphysica, see AT 7. 391�412. But what need for such an unconventional approach? It puzzled many of Descartes�s contemporaries, who would have been content, where certain knowledge was unavailable, with probabilities. But Descartes was urging them to put the probable on a level with the absolutely false.20 Now, it is perfectly possible to offer a purely philosophical rationale for his approach.21 It is equally possible to seek to focus on �the specific question to which Descartes may have intended his doctrine of certainty as a solution�, and thus to read the Meditations more in their historical context.22 Some have read it as a response to the revival of ancient scepticism, to which Montaigne�s essay �Apologie de Raimond Sebond�, first published in 1580, had given a powerful expression. Montaigne�s challenge to all claims to achieve knowledge by purely human means was inspired by the �Pyrrhonist� strand of scepticism represented by Sextus Empiricus (c.AD 160�210). Pyrrhonism challenges any attempt to achieve knowledge of a reality behind appearance. Snow looks white: but whether it is white or not we cannot know. Pyrrhonism makes no truth-claims itself: it does not even say: �We cannot achieve knowledge.� It merely undermines everyone else�s truth-claims. Any argument can be matched by an equally convincing counter-argument. We have no criterion or mark that guarantees a perception or a proposition as true. In particular, Montaigne draws on the Pyrrhonist argument that all our knowledge is unreliable, because it is ultimately based on sense-perception, which is untrustworthy.23",What does Descartes believe is necessary for constructing something lasting and unshakable in the sciences?,"Descartes believes that to construct something lasting and unshakable in the sciences, it is necessary to completely demolish the entire structure of one's former beliefs, which may have been built on shaky foundations, and begin again from the bottom up. This approach involves a wholesale repudiation of all previous opinions, not just casual ones but deep convictions as well."
"Descartes�s approach to the problem of truth was strikingly innovative. Truth was not to be sought by mastering a range of authoritative texts, and analysing the questions to which the reading of these might give rise, with full attention to the variety of views that might be taken. What was required was an individual search, conducted along the correct methodical lines, and the correct method involved divorcing oneself from one�s inveterate tendency to turn to the senses for information about the world in which one lives. More particularly, it involved a wholesale repudiation of one�s former beliefs: not merely casual opinions but deep convictions. It is some years now since I realized how many false opinions I had accepted as true from childhood onwards, and that, whatever I had since built on such shaky foundations, could only be highly doubtful. Hence I saw that at some stage in my life the whole structure would have to be utterly demolished, and that I should have to begin again from the bottom up if I wished to construct something lasting and unshakable in the sciences. . . . I have withdrawn into seclusion and shall at last be able to devote myself seriously and without encumbrance to the task of destroying all my former opinions. (p. 17) 19 On the publication history of the various editions in French and Latin see AT 7. v�xviii (Latin) and AT 9. v�x (French). On the translation of the Fifth Objections, see Clerselier�s note at AT 9. 200�1. On Gassendi�s Disquisitio metaphysica, see AT 7. 391�412. But what need for such an unconventional approach? It puzzled many of Descartes�s contemporaries, who would have been content, where certain knowledge was unavailable, with probabilities. But Descartes was urging them to put the probable on a level with the absolutely false.20 Now, it is perfectly possible to offer a purely philosophical rationale for his approach.21 It is equally possible to seek to focus on �the specific question to which Descartes may have intended his doctrine of certainty as a solution�, and thus to read the Meditations more in their historical context.22 Some have read it as a response to the revival of ancient scepticism, to which Montaigne�s essay �Apologie de Raimond Sebond�, first published in 1580, had given a powerful expression. Montaigne�s challenge to all claims to achieve knowledge by purely human means was inspired by the �Pyrrhonist� strand of scepticism represented by Sextus Empiricus (c.AD 160�210). Pyrrhonism challenges any attempt to achieve knowledge of a reality behind appearance. Snow looks white: but whether it is white or not we cannot know. Pyrrhonism makes no truth-claims itself: it does not even say: �We cannot achieve knowledge.� It merely undermines everyone else�s truth-claims. Any argument can be matched by an equally convincing counter-argument. We have no criterion or mark that guarantees a perception or a proposition as true. In particular, Montaigne draws on the Pyrrhonist argument that all our knowledge is unreliable, because it is ultimately based on sense-perception, which is untrustworthy.23",Why did Descartes�s contemporaries find his approach to truth puzzling?,"Descartes�s contemporaries found his approach to truth puzzling because they were content with probabilities in situations where certain knowledge was unavailable. Descartes, however, urged them to treat probabilities as equivalent to absolute falsehoods, which was unconventional and difficult for them to accept."
"Descartes�s approach to the problem of truth was strikingly innovative. Truth was not to be sought by mastering a range of authoritative texts, and analysing the questions to which the reading of these might give rise, with full attention to the variety of views that might be taken. What was required was an individual search, conducted along the correct methodical lines, and the correct method involved divorcing oneself from one�s inveterate tendency to turn to the senses for information about the world in which one lives. More particularly, it involved a wholesale repudiation of one�s former beliefs: not merely casual opinions but deep convictions. It is some years now since I realized how many false opinions I had accepted as true from childhood onwards, and that, whatever I had since built on such shaky foundations, could only be highly doubtful. Hence I saw that at some stage in my life the whole structure would have to be utterly demolished, and that I should have to begin again from the bottom up if I wished to construct something lasting and unshakable in the sciences. . . . I have withdrawn into seclusion and shall at last be able to devote myself seriously and without encumbrance to the task of destroying all my former opinions. (p. 17) 19 On the publication history of the various editions in French and Latin see AT 7. v�xviii (Latin) and AT 9. v�x (French). On the translation of the Fifth Objections, see Clerselier�s note at AT 9. 200�1. On Gassendi�s Disquisitio metaphysica, see AT 7. 391�412. But what need for such an unconventional approach? It puzzled many of Descartes�s contemporaries, who would have been content, where certain knowledge was unavailable, with probabilities. But Descartes was urging them to put the probable on a level with the absolutely false.20 Now, it is perfectly possible to offer a purely philosophical rationale for his approach.21 It is equally possible to seek to focus on �the specific question to which Descartes may have intended his doctrine of certainty as a solution�, and thus to read the Meditations more in their historical context.22 Some have read it as a response to the revival of ancient scepticism, to which Montaigne�s essay �Apologie de Raimond Sebond�, first published in 1580, had given a powerful expression. Montaigne�s challenge to all claims to achieve knowledge by purely human means was inspired by the �Pyrrhonist� strand of scepticism represented by Sextus Empiricus (c.AD 160�210). Pyrrhonism challenges any attempt to achieve knowledge of a reality behind appearance. Snow looks white: but whether it is white or not we cannot know. Pyrrhonism makes no truth-claims itself: it does not even say: �We cannot achieve knowledge.� It merely undermines everyone else�s truth-claims. Any argument can be matched by an equally convincing counter-argument. We have no criterion or mark that guarantees a perception or a proposition as true. In particular, Montaigne draws on the Pyrrhonist argument that all our knowledge is unreliable, because it is ultimately based on sense-perception, which is untrustworthy.23","How does Pyrrhonism challenge the concept of knowledge, according to the text?","Pyrrhonism challenges the concept of knowledge by arguing that any attempt to achieve knowledge of a reality beyond appearances is futile. It posits that any argument can be countered by an equally convincing counter-argument, and that we lack a reliable criterion or mark to guarantee the truth of a perception or proposition. Pyrrhonism does not make any truth-claims itself but instead undermines the truth-claims of others, particularly by asserting that sense-perception, the basis of much of our knowledge, is untrustworthy."
"Descartes�s approach to the problem of truth was strikingly innovative. Truth was not to be sought by mastering a range of authoritative texts, and analysing the questions to which the reading of these might give rise, with full attention to the variety of views that might be taken. What was required was an individual search, conducted along the correct methodical lines, and the correct method involved divorcing oneself from one�s inveterate tendency to turn to the senses for information about the world in which one lives. More particularly, it involved a wholesale repudiation of one�s former beliefs: not merely casual opinions but deep convictions. It is some years now since I realized how many false opinions I had accepted as true from childhood onwards, and that, whatever I had since built on such shaky foundations, could only be highly doubtful. Hence I saw that at some stage in my life the whole structure would have to be utterly demolished, and that I should have to begin again from the bottom up if I wished to construct something lasting and unshakable in the sciences. . . . I have withdrawn into seclusion and shall at last be able to devote myself seriously and without encumbrance to the task of destroying all my former opinions. (p. 17) 19 On the publication history of the various editions in French and Latin see AT 7. v�xviii (Latin) and AT 9. v�x (French). On the translation of the Fifth Objections, see Clerselier�s note at AT 9. 200�1. On Gassendi�s Disquisitio metaphysica, see AT 7. 391�412. But what need for such an unconventional approach? It puzzled many of Descartes�s contemporaries, who would have been content, where certain knowledge was unavailable, with probabilities. But Descartes was urging them to put the probable on a level with the absolutely false.20 Now, it is perfectly possible to offer a purely philosophical rationale for his approach.21 It is equally possible to seek to focus on �the specific question to which Descartes may have intended his doctrine of certainty as a solution�, and thus to read the Meditations more in their historical context.22 Some have read it as a response to the revival of ancient scepticism, to which Montaigne�s essay �Apologie de Raimond Sebond�, first published in 1580, had given a powerful expression. Montaigne�s challenge to all claims to achieve knowledge by purely human means was inspired by the �Pyrrhonist� strand of scepticism represented by Sextus Empiricus (c.AD 160�210). Pyrrhonism challenges any attempt to achieve knowledge of a reality behind appearance. Snow looks white: but whether it is white or not we cannot know. Pyrrhonism makes no truth-claims itself: it does not even say: �We cannot achieve knowledge.� It merely undermines everyone else�s truth-claims. Any argument can be matched by an equally convincing counter-argument. We have no criterion or mark that guarantees a perception or a proposition as true. In particular, Montaigne draws on the Pyrrhonist argument that all our knowledge is unreliable, because it is ultimately based on sense-perception, which is untrustworthy.23",What historical context is suggested for interpreting Descartes�s doctrine of certainty in the Meditations?,"The historical context suggested for interpreting Descartes�s doctrine of certainty in the Meditations includes the revival of ancient skepticism, particularly the Pyrrhonist strand of skepticism represented by Sextus Empiricus. This context is linked to Montaigne�s essay Apologie de Raimond Sebond, which expressed skepticism about the possibility of achieving knowledge through purely human means and emphasized the unreliability of sense-perception as the basis for knowledge."
"Although Descartes retains some key Aristotelian concepts (the difference, for example, explained below, between substance and accident), he rejects the Aristotelian heritage in more ways than can even be summarized here. I shall focus on merely two aspects in this section: others will emerge in the Explanatory Notes. First, Descartes rejects the Aristotelian conception in which bodies are seen as combinations of fundamental elements (fire, air, water, earth), themselves understood as combinations of fundamental qualities (hot, cold, wet, dry), and in which their movements are ascribed to a tendency or �inclination� of the different elements to return to their place of origin (a flame moves upwards, because the element of fire belongs in the upper regions of the universe; a stone downwards, because the earth of which it is composed seeks its Introduction xix pp. 587�601). All references to Montaigne are to this edition (hereafter abbreviated to VS). The classic statement of Pyrrhonism is Sextus Empiricus, Outlines of Pyrrhonism [Hypotyposes]: see the edition by R. G. Bury, Loeb Classical Library (Cambridge, Mass. and London, 1933). 24 Descartes�s use of Montaigne is succinctly treated by Clarke, Descartes, 191, and in more detail by Gaukroger, Descartes, 314�19. 25 The interpretation of Descartes�s work as a response to scepticism is set out in Richard Popkin, The History of Scepticism from Savonarola to Bayle, rev. and expanded edn. (Oxford: Oxford University Press, 2003), first published as The History of Scepticism from Erasmus to Descartes (1960), and in more detail by E. M. Curley, Descartes against the Skeptics (Oxford: Blackwell, 1978). Curley, however, also stresses the antiAristotelian thrust of Descartes�s philosophy (pp. 1�9, 207�36). This latter dimension is stressed in Gaukroger�s biography, and by many recent writers. resting-place at the centre of the universe).26 He argues in Le Monde that a world exactly similar to the world we experience today could in theory have been formed out of homogeneous matter, credited with no qualities beyond extension (possession of length, breadth, and depth) and divisibility into parts: if different movements were produced by God in the different parts of matter, the ultimate result would be the formation of an ordered cosmos, such as the one we inhabit. (Descartes states the theory as a fiction so as to avoid the appearance of clashing with the biblical account of creation.)27 The later Principles of Philosophy restate it, but in a less polemical fashion, so as not to provoke Aristotelian ire.","What key difference does Descartes maintain between substance and accident in his philosophy, despite rejecting many Aristotelian concepts?","Descartes retains the Aristotelian concept of the difference between substance and accident in his philosophy. However, he rejects many other aspects of the Aristotelian heritage."
"Although Descartes retains some key Aristotelian concepts (the difference, for example, explained below, between substance and accident), he rejects the Aristotelian heritage in more ways than can even be summarized here. I shall focus on merely two aspects in this section: others will emerge in the Explanatory Notes. First, Descartes rejects the Aristotelian conception in which bodies are seen as combinations of fundamental elements (fire, air, water, earth), themselves understood as combinations of fundamental qualities (hot, cold, wet, dry), and in which their movements are ascribed to a tendency or �inclination� of the different elements to return to their place of origin (a flame moves upwards, because the element of fire belongs in the upper regions of the universe; a stone downwards, because the earth of which it is composed seeks its Introduction xix pp. 587�601). All references to Montaigne are to this edition (hereafter abbreviated to VS). The classic statement of Pyrrhonism is Sextus Empiricus, Outlines of Pyrrhonism [Hypotyposes]: see the edition by R. G. Bury, Loeb Classical Library (Cambridge, Mass. and London, 1933). 24 Descartes�s use of Montaigne is succinctly treated by Clarke, Descartes, 191, and in more detail by Gaukroger, Descartes, 314�19. 25 The interpretation of Descartes�s work as a response to scepticism is set out in Richard Popkin, The History of Scepticism from Savonarola to Bayle, rev. and expanded edn. (Oxford: Oxford University Press, 2003), first published as The History of Scepticism from Erasmus to Descartes (1960), and in more detail by E. M. Curley, Descartes against the Skeptics (Oxford: Blackwell, 1978). Curley, however, also stresses the antiAristotelian thrust of Descartes�s philosophy (pp. 1�9, 207�36). This latter dimension is stressed in Gaukroger�s biography, and by many recent writers. resting-place at the centre of the universe).26 He argues in Le Monde that a world exactly similar to the world we experience today could in theory have been formed out of homogeneous matter, credited with no qualities beyond extension (possession of length, breadth, and depth) and divisibility into parts: if different movements were produced by God in the different parts of matter, the ultimate result would be the formation of an ordered cosmos, such as the one we inhabit. (Descartes states the theory as a fiction so as to avoid the appearance of clashing with the biblical account of creation.)27 The later Principles of Philosophy restate it, but in a less polemical fashion, so as not to provoke Aristotelian ire.",How does Descartes�s view of the formation of the cosmos differ from the Aristotelian conception?,"Descartes argues that a world similar to the one we experience today could have been formed out of homogeneous matter, possessing only extension (length, breadth, and depth) and divisibility into parts, without any fundamental qualities such as hot, cold, wet, or dry. This is in stark contrast to the Aristotelian conception, which views bodies as combinations of fundamental elements (fire, air, water, earth) with specific qualities, and ascribes their movements to a natural tendency to return to their place of origin."
